Time resolution is 1 ps
Time = 2690000 | data_in = 025d | data_out = 64ed | rst = 0
Time = 2700000 | data_in = 2bd0 | data_out = 64ed | rst = 0
Time = 2710000 | data_in = 2bd0 | data_out = 5f14 | rst = 0
Time = 2720000 | data_in = 553b | data_out = 5f14 | rst = 0
Time = 2730000 | data_in = 553b | data_out = 4f8b | rst = 0
Time = 2740000 | data_in = 43bf | data_out = 4f8b | rst = 0
Time = 2750000 | data_in = 43bf | data_out = 4995 | rst = 0
Time = 2760000 | data_in = 0dd7 | data_out = 4995 | rst = 0
Time = 2770000 | data_in = 0dd7 | data_out = 5329 | rst = 0
Time = 2780000 | data_in = fc4d | data_out = 5329 | rst = 0
Time = 2790000 | data_in = fc4d | data_out = 5cb0 | rst = 0
Time = 2800000 | data_in = 259e | data_out = 5cb0 | rst = 0
Time = 2810000 | data_in = 259e | data_out = 5692 | rst = 0
Time = 2820000 | data_in = 4eea | data_out = 5692 | rst = 0
Time = 2830000 | data_in = 4eea | data_out = 46c5 | rst = 0
Time = 2840000 | data_in = 3d4d | data_out = 46c5 | rst = 0
Time = 2850000 | data_in = 3d4d | data_out = 408e | rst = 0
Time = 2860000 | data_in = 0747 | data_out = 408e | rst = 0
Time = 2870000 | data_in = 0747 | data_out = 49e2 | rst = 0
Time = 2880000 | data_in = f5a0 | data_out = 49e2 | rst = 0
Time = 2890000 | data_in = f5a0 | data_out = 532a | rst = 0
Time = 2900000 | data_in = 1ed5 | data_out = 532a | rst = 0
Time = 2910000 | data_in = 1ed5 | data_out = 4ccf | rst = 0
Time = 2920000 | data_in = 4805 | data_out = 4ccf | rst = 0
Time = 2930000 | data_in = 4805 | data_out = 3cc6 | rst = 0
Time = 2940000 | data_in = 364f | data_out = 3cc6 | rst = 0
Time = 2950000 | data_in = 364f | data_out = 3655 | rst = 0
Time = 2960000 | data_in = 0030 | data_out = 3655 | rst = 0
Time = 2970000 | data_in = 0030 | data_out = 3f70 | rst = 0
Time = 2980000 | data_in = ee71 | data_out = 3f70 | rst = 0
Time = 2990000 | data_in = ee71 | data_out = 4881 | rst = 0
Time = 3000000 | data_in = 178f | data_out = 4881 | rst = 0
Time = 3010000 | data_in = 178f | data_out = 41f1 | rst = 0
Time = 3020000 | data_in = 40aa | data_out = 41f1 | rst = 0
Time = 3030000 | data_in = 40aa | data_out = 31b5 | rst = 0
Time = 3040000 | data_in = 2ee0 | data_out = 31b5 | rst = 0
Time = 3050000 | data_in = 2ee0 | data_out = 2b13 | rst = 0
Time = 3060000 | data_in = f8ae | data_out = 2b13 | rst = 0
Time = 3070000 | data_in = f8ae | data_out = 33ff | rst = 0
Time = 3080000 | data_in = e6dd | data_out = 33ff | rst = 0
Time = 3090000 | data_in = e6dd | data_out = 3ce2 | rst = 0
Time = 3100000 | data_in = 0feb | data_out = 3ce2 | rst = 0
Time = 3110000 | data_in = 0feb | data_out = 3626 | rst = 0
Time = 3120000 | data_in = 38f6 | data_out = 3626 | rst = 0
Time = 3130000 | data_in = 38f6 | data_out = 25c0 | rst = 0
Time = 3140000 | data_in = 271d | data_out = 25c0 | rst = 0
Time = 3150000 | data_in = 271d | data_out = 1ef6 | rst = 0
Time = 3160000 | data_in = f0de | data_out = 1ef6 | rst = 0
Time = 3170000 | data_in = f0de | data_out = 27bb | rst = 0
Time = 3180000 | data_in = df02 | data_out = 27bb | rst = 0
Time = 3190000 | data_in = df02 | data_out = 307a | rst = 0
Time = 3200000 | data_in = 0805 | data_out = 307a | rst = 0
Time = 3210000 | data_in = 0805 | data_out = 299d | rst = 0
Time = 3220000 | data_in = 3108 | data_out = 299d | rst = 0
Time = 3230000 | data_in = 3108 | data_out = 1917 | rst = 0
Time = 3240000 | data_in = 1f27 | data_out = 1917 | rst = 0
Time = 3250000 | data_in = 1f27 | data_out = 122e | rst = 0
Time = 3260000 | data_in = e8e2 | data_out = 122e | rst = 0
Time = 3270000 | data_in = e8e2 | data_out = 1ad7 | rst = 0
Time = 3280000 | data_in = d700 | data_out = 1ad7 | rst = 0
Time = 3290000 | data_in = d700 | data_out = 237c | rst = 0
Time = 3300000 | data_in = 0000 | data_out = 237c | rst = 0
